日付,演奏会名,会場,指揮,演目
2010/11/20,"第53回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志","威風堂々第１番（E.エルガー）
目覚めよ、と呼ぶ声あり（J.S.バッハ）
仮面舞踏会より「ワルツ」（A.ハチャトゥリアン）
パリのアメリカ人（G.ガーシュイン）

西部警察
Ｇメン★７５
大江戸捜査網
太陽にほえろ
古畑任三郎のテーマ
相棒
踊る大捜査線
ルパン三世のテーマ"
2010/6/19,第39回定期演奏会,"アミューたちかわ
大ホール","都築啓志
阿部重行(*)","ロング・グレイ・ライン（J.バーンズ）(*)
ヨークシャー・バラード（J.バーンズ）(*)
セイント・アンソニー・バリエーション（ウィリアム.H.ヒル）(*)

バンドのための民話（ジム.A.コーディル）
日本民謡による幻想曲～「砂山」の主題による（サミュエル.R.ヘイゾ）
寓話の交響曲（J.ジロー）"
2009/11/21,"第52回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール",都築啓志,"リオネッス（B.アッペルモント）
コーラリア（B.アッペルモント）
イギリス民謡組曲（R.ヴォーン＝ウィリアムズ）

ドラゴンクエストより「序曲のテーマ」
ドラゴンクエストより「海図を広げて」
ドラゴンクエストより「そして伝説へ」
大河ドラマ「篤姫」テーマ音楽
大河ドラマ「天地人」テーマ音楽

マンボNo.8　～　テキーラ
ムーン・リバー
アメリカン・グラフィティ８～フランク・シナトラ・ヒット・メドレー～"
2009/6/20,第38回定期演奏会,"アミューたちかわ
大ホール","都築啓志
阿部重行(*)","スラヴァ！（レナード・バーンスタイン）(*)
マリンバとウィンドアンサンブルの為の協奏曲（ネイ・ロサウロ）(*)

シェナンドー（フランク・ティケリ）
交響曲第一番（ロバート・ジェイガー）"
2008/11/15,"第51回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志
阿部重行(*)","フィエスタ！（P.スパーク）
デリー地方のアイルランド民謡（P.グレインジャー）
吹奏楽のための第一組曲（G.ホルスト）(*)

Ｌ．Ａ．オリンピックファンファーレ＆テーマ
スポーツショー行進曲
セントルイス・ブルース・マーチ
帝国のマーチ
星条旗よ永遠なれ

ソウル・イントロ／ザ・チキン
What a wonderful world
シング・シング・シング"
2008/6/14,第37回定期演奏会,"アミューたちかわ
大ホール","都築啓志
阿部重行(*)","ブライアンの休日（内藤淳一）
シンフォニックバンドのためのパッサカリア（兼田敏）(*)
バベルの塔（広瀬勇人）(*)

歌劇「ファウスト」よりバレエ音楽（C.Gounod）
管弦楽のための舞踏詩「ラ・ヴァルス」（M.Ravel）"
2007/11/17,"第50回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","阿部重行","ハンティンドン・セレブレーション（P.Sparke）
シアター・ミュージック（P.Sparke）

バック・トゥ・ザ・フューチャー
スーパーカリフラジリスティックエクスピアリドーシャス
風林火山
スペイン
ニュー・シネマ・パラダイス
ジュラシック・パーク
宝島
バック・トゥ・ザ・フューチャー"
2007/6/23,第36回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","素晴らしき３つの冒険（P.Sparke）(*)
交響的情景「地底旅行」（P.Graham）(*)

幻想組曲「ロメオとジュリエット」（ P.I.Tchaikovsky）
ウェストサイド・ストーリー・セレクション（L.Bernstein）"
2006/11/18,"第49回市民文化祭
吹奏楽演奏会","アミューたちかわ
大ホール","都築啓志
阿部重行(*)","秋空に（上岡洋一）
はるか、大地へ（上岡洋一）
マルテニッツァ －春の序曲－（P.Swerts）(*)
大地と水と火と空の歌（R. W. Smith）(*)

バードランド
久石譲作品集
ジャングル・ファンタジー
私のお気に入り
リトルマーメイドより
パイレーツ・オブ・カリビアン"
2006/6/24,第35回定期演奏会,"アミューたちかわ
大ホール","阿部光祐(*)
都築啓志","歌劇「いやいやながらの王様」より スラブ舞曲（E. Chabrier）
バレエ組曲『コッペリア』（L.Delibes）

インメモリアル　（A.Reed）(*)
第三交響曲　（A.Reed）(*)"